CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|HORINITRANSACCION|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|DESTRANSACCIONVENTANILLA|ACTV_BENEFICIARIO|TIPPER_BENEFICIARIO|FLG_FFNN_BENEFICIARIO|FLG_FFNN_SOLICITANTE|TIPBANCA_BENEFICIARIO|TIPBANCA_SOLICITANTE|MTOTRANSACCION|TIPPER_SOLICITANTE|DESBANCA_BENEFICIARIO|DESBANCA_SOLICITANTE|FECONS_BENEFICIARIO|FECONS_SOL|FLG_AN_BENEFICIARIO|FLG_AN_SOLICITANTE|FLG_REL|FLG_ROS_BEN|FLG_ROS_SOL
8637421|5224738|202312|07/12/23|16:40:13|380000|612|801219665101|62|Depósito Cte|6712|E|1|1|C|C|405172.90|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5224738|202312|19/12/23|10:54:20|380000|136|801223888832|62|Depósito Cte|6712|E|1|1|C|C|554134.00|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5224738|202312|20/12/23|10:03:56|380000|23|801224446733|62|Depósito Cte|6712|E|1|1|C|C|263086.00|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5224738|202312|21/12/23|13:20:37|380000|298|801225254245|62|Depósito Cte|6712|E|1|1|C|C|411310.60|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5224738|202312|05/12/23|12:04:23|380000|298|801218228670|62|Depósito Cte|6712|E|1|1|C|C|716148.10|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5224738|202312|11/12/23|18:40:59|380000|834|801220463743|62|Depósito Cte|6712|E|1|1|C|C|507924.90|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|5224738|202312|28/12/23|12:01:12|380000|244|801227863446|62|Depósito Cte|6712|E|1|1|C|C|316786.10|E|BANCA CORPORATIVA                  |BANCA CORPORATIVA                  |02/11/16|01/09/05|0|0|0|0|0
8637421|8649686|202312|16/12/23|10:17:14|380000|127|801222871229|62|Depósito Cte|6712|E|1|0|C|P|674460.60|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |02/11/16||0|0|0|0|0
11968802|11968802|202312|01/12/23|17:19:33|318000|246|801216993269|60|Depósito Aho|0091|P|1|1|P|P|302000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
76271|1823826|202312|19/12/23|13:24:54|220000|449|801224046419|117|Credipago without validation|5010|E|1|0|E|P|217478.00|P|EMPRESA                            |BANCA PERSONAL                     |02/10/95||0|0|0|0|0
7699232|3879833|202312|11/12/23|11:31:11|365002|68|801219987074|62|Depósito Cte|5122|E|1|1|P|P|239000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |02/02/09||0|0|1|0|0
72232|22036053|202312|13/12/23|17:04:38|191028|324|902656493123|115|Credipago with partial validation|2422|E|1|1|C|P|500000.00|E|BANCA CORPORATIVA                  |BANCA PERSONAL                     |27/12/32|02/08/17|0|0|0|0|0
8851327|10524240|202312|01/12/23|17:37:24|335000|710|801217015724|62|Depósito Cte|6719|E|1|0|C|P|734347.80|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/17||0|0|0|0|0
72232|1227678|202312|27/12/23|14:20:41|285011|181|902661610122|115|Credipago with partial validation|2422|E|1|0|C|P|387187.84|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |27/12/32||0|0|0|0|0
9562980|4450504|202312|18/12/23|12:37:56|215002|490|902658100452|62|Depósito Cte|6021|E|1|0|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |27/09/11||0|0|1|0|0
25890920|2409955|202312|14/12/23|14:16:32|395000|254|902656834252|62|Depósito Cte|7412|E|1|0|P|P|525000.97|P|BANCA PERSONAL                     |BANCA PERSONAL                     |09/01/20||0|0|0|0|0
2233972|6485915|202312|11/12/23|12:37:43|405005|163|902655226804|117|Credipago without validation|1551|E|1|0|C|P|214089.22|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |09/06/94||0|0|0|0|0
28860409|6146645|202312|21/12/23|14:57:56|215013|241|801225341958|116|Credipago con validación por rangos|7290|E|1|0|P|P|780000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |02/11/16||0|0|0|0|0
8672384|162734|202312|22/12/23|11:23:45|191098|113|902660127472|62|Depósito Cte|6712|E|1|0|E|P|221520.00|P|EMPRESA                            |BANCA PERSONAL                     |12/02/09||0|0|0|0|0
3416100|3242566|202312|07/12/23|18:19:27|570011|611|902654987500|62|Depósito Cte|5141|E|1|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |05/07/96||0|0|1|0|0
22549645|4156720|202312|29/12/23|16:12:40|193011|433|801228702091|62|Depósito Cte|9309|E|1|0|P|P|520000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |19/01/18||0|0|1|0|0
13707676|13816998|202312|23/12/23|11:19:44|220000|249|801226330123|60|Depósito Aho|0099|P|0|1|P|P|200000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
7451301|7451301|202312|05/12/23|18:02:49|435000|352|801218595104|60|Depósito Aho|0099|P|0|0|P|P|300000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
19528745|19528745|202312|30/12/23|13:44:25|570000|845|902663183493|60|Depósito Aho|0091|P|0|0|P|P|290000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
582461|582461|202312|07/12/23|13:18:25|355006|155|801219471779|60|Depósito Aho|0099|P|0|0|P|P|264000.00|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0
2595019|6872801|202312|16/12/23|11:18:57|485000|137|801222944481|60|Depósito Aho|7511|P|0|0|P|P|250881.50|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||1|0|0|1|0
