CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|MTOTRANSACCION|FLG_MTO_P25|FLG_MTO_P50|FLG_MTO_P75|FLG_MTO_P90|FLG_AN|TIPPER|FLG_NUEVA_BEN|dif2|FLG_NUEVA_SOL|FLG_NUEVA|FLG_BANCA|PERSONA_SOL|EMPRESA_SOL|PERSONA_BEN|EMPRESA_BEN|FLG_ROS|FLG_MTO|FLG_NOREL|MTOTRANSACCION_ES|TIPPER_BEN|TIPPER_SOL|MTO_P95|MTOTRANSACCION_ES95|FLG_ROS_BEN|FLG_ROS_SOL|N_Cluster
8637421.0|5224738.0|202312|07/12/23|380000|612|801219665101|62|405172.9|0|0|1|0|0|0|0|2708.0|0|0|0|0|0|0|0|0|0|1|405172.9|1|1|405172.9|405172.9|0|0|14
8637421.0|5224738.0|202312|19/12/23|380000|136|801223888832|62|554134.0|0|0|1|0|0|0|0|2868.0|0|0|0|0|0|0|0|0|1|1|554134.0|1|1|554134.0|554134.0|0|0|14
8637421.0|5224738.0|202312|20/12/23|380000|23|801224446733|62|263086.0|1|0|0|0|0|0|0|2869.0|0|0|0|0|0|0|0|0|0|1|263086.0|1|1|263086.0|263086.0|0|0|5
8637421.0|5224738.0|202312|21/12/23|380000|298|801225254245|62|411310.6|0|0|1|0|0|0|0|2870.0|0|0|0|0|0|0|0|0|0|1|411310.6|1|1|411310.6|411310.6|0|0|14
8637421.0|5224738.0|202312|05/12/23|380000|298|801218228670|62|716148.1|0|0|0|1|0|0|0|2647.0|0|0|0|0|0|0|0|0|1|1|716148.1|1|1|699065.4099999998|699065.4099999998|0|0|8
8637421.0|5224738.0|202312|11/12/23|380000|834|801220463743|62|507924.9|0|0|1|0|0|0|0|2831.0|0|0|0|0|0|0|0|0|1|1|507924.9|1|1|507924.9|507924.9|0|0|14
8637421.0|5224738.0|202312|28/12/23|380000|244|801227863446|62|316786.1|0|1|0|0|0|0|0|2877.0|0|0|0|0|0|0|0|0|0|1|316786.1|1|1|316786.1|316786.1|0|0|10
8637421.0|8649686.0|202312|16/12/23|380000|127|801222871229|62|674460.6|0|0|0|1|0|0|0|2865.0|0|0|1|1|0|0|0|0|1|1|674460.6|1|0|674460.6|674460.6|0|0|8
11968802.0|11968802.0|202312|01/12/23|318000|246|801216993269|60|302000.0|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|302000.0|0|0|302000.0|302000.0|0|0|2
76271.0|1823826.0|202312|19/12/23|220000|449|801224046419|117|217478.0|0|0|0|0|0|0|0|10539.0|0|0|1|1|0|0|1|0|0|1|217478.0|1|0|217478.0|217478.0|0|0|0
7699232.0|3879833.0|202312|11/12/23|365002|68|801219987074|62|239000.0|1|0|0|0|0|0|0|5396.0|0|0|1|1|0|1|0|0|0|0|239000.0|1|0|239000.0|239000.0|0|0|4
72232.0|22036053.0|202312|13/12/23|191028|324|902656493123|115|500000.0|0|0|1|0|0|0|0|-3302.0|0|0|1|1|0|0|0|0|0|1|500000.0|1|1|500000.0|500000.0|0|0|14
8851327.0|10524240.0|202312|01/12/23|335000|710|801217015724|62|734347.8|0|0|0|1|0|0|0|1967.0|0|0|1|1|0|0|0|0|1|1|734347.8|1|0|699065.4099999998|699065.4099999998|0|0|8
72232.0|1227678.0|202312|27/12/23|285011|181|902661610122|115|387187.84|0|1|0|0|0|0|0|-3288.0|0|0|1|1|0|0|0|0|0|1|387187.84|1|0|387187.84|387187.84|0|0|10
9562980.0|4450504.0|202312|18/12/23|215002|490|902658100452|62|200000.0|0|0|0|0|0|0|0|4465.0|0|0|1|1|0|1|0|0|0|0|200000.0|1|0|200000.0|200000.0|0|0|4
25890920.0|2409955.0|202312|14/12/23|395000|254|902656834252|62|525000.97|0|0|1|0|0|0|0|1199.0|0|0|1|1|0|1|0|0|1|1|525000.97|1|0|525000.97|525000.97|0|0|18
2233972.0|6485915.0|202312|11/12/23|405005|163|902655226804|117|214089.22|0|0|0|0|0|0|0|10659.0|0|0|1|1|0|0|0|0|0|1|214089.22|1|0|214089.22|214089.22|0|0|5
28860409.0|6146645.0|202312|21/12/23|215013|241|801225341958|116|780000.0|0|0|0|1|0|0|0|2870.0|0|0|1|1|0|1|0|0|1|1|780000.0|1|0|699065.4099999998|699065.4099999998|0|0|15
8672384.0|162734.0|202312|22/12/23|191098|113|902660127472|62|221520.0|0|0|0|0|0|0|0|5133.0|0|0|1|1|0|0|1|0|0|1|221520.0|1|0|221520.0|221520.0|0|0|0
3416100.0|3242566.0|202312|07/12/23|570011|611|902654987500|62|200000.0|0|0|0|0|0|0|0|9927.0|0|0|1|1|0|1|0|0|0|0|200000.0|1|0|200000.0|200000.0|0|0|4
22549645.0|4156720.0|202312|29/12/23|193011|433|801228702091|62|520000.0|0|0|1|0|0|0|0|2170.0|0|0|1|1|0|1|0|0|1|0|520000.0|1|0|520000.0|520000.0|0|0|1
13707676.0|13816998.0|202312|23/12/23|220000|249|801226330123|60|200000.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|200000.0|0|0|200000.0|200000.0|0|0|9
7451301.0|7451301.0|202312|05/12/23|435000|352|801218595104|60|300000.0|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|300000.0|0|0|300000.0|300000.0|0|0|2
19528745.0|19528745.0|202312|30/12/23|570000|845|902663183493|60|290000.0|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|290000.0|0|0|290000.0|290000.0|0|0|2
582461.0|582461.0|202312|07/12/23|355006|155|801219471779|60|264000.0|1|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|264000.0|0|0|264000.0|264000.0|0|0|9
2595019.0|6872801.0|202312|16/12/23|485000|137|801222944481|60|250881.5|1|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|250881.5|0|0|250881.5|250881.5|1|0|7
5097808.0|1619226.0|202312|19/12/23|475000|302|801223947904|117|1074090.0|0|0|0|1|0|0|0|6732.0|0|0|1|1|0|0|0|0|1|1|1074090.0|1|0|699065.4099999998|699065.4099999998|1|0|8
24558617.0|10409046.0|202312|16/12/23|193054|185|902657850356|62|205000.0|0|0|0|0|0|0|0|2789.0|0|0|1|1|0|1|0|0|0|0|205000.0|1|0|205000.0|205000.0|1|0|4
11230255.0|11230255.0|202312|14/12/23|191020|244|801221908240|128|412013.0|0|0|1|0|0|1|0||0|0|1|1|0|1|0|1|0|1|412013.0|0|0|412013.0|412013.0|1|1|18
11230255.0|11230255.0|202312|14/12/23|191020|244|801221909337|128|460027.0|0|0|1|0|0|1|0||0|0|1|1|0|1|0|1|0|1|460027.0|0|0|460027.0|460027.0|1|1|18
3831900.0|2703689.0|202312|05/12/23|194007|201|902653703673|62|490722.0|0|0|1|0|0|0|0|7269.0|0|0|1|1|0|0|1|0|0|1|490722.0|1|0|490722.0|490722.0|0|1|13
1078657.0|16619112.0|202312|07/12/23|220000|366|801219483386|60|700010.0|0|0|0|1|0|0|0|-13578.0|0|0|1|1|0|1|0|0|1|1|700010.0|1|0|699065.4099999998|699065.4099999998|1|0|15
2183984.0|7103056.0|202312|21/12/23|194016|431|801225533858|60|370250.0|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|370250.0|0|0|370250.0|370250.0|1|0|2
4324047.0|1439435.0|202312|26/12/23|215010|242|801226782996|62|214950.0|0|0|0|0|0|0|0|7207.0|0|0|1|1|0|1|0|0|0|1|214950.0|1|0|214950.0|214950.0|1|0|7
3701285.0|3701285.0|202312|12/12/23|215002|501|902655819140|60|290000.0|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|290000.0|0|0|290000.0|290000.0|0|0|2
16338476.0|28428111.0|202312|30/12/23|365002|194|801229210925|60|447000.0|0|0|1|0|0|1|0||0|0|1|1|0|1|0|0|0|1|447000.0|0|0|447000.0|447000.0|0|0|18
928059.0|11731854.0|202312|29/12/23|405000|799|801228858138|115|234406.34|1|0|0|0|0|0|0|9308.0|0|0|1|1|0|0|1|0|0|1|234406.34|1|0|234406.34|234406.34|0|0|0
12232637.0|12232637.0|202312|14/12/23|560000|202|902656795500|107|259978.19|1|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|259978.19|0|0|259978.19|259978.19|0|0|9
323213.0|13775266.0|202312|28/12/23|405003|5|801227703780|117|241099.8|1|0|0|0|0|0|0|-17518.0|0|0|1|1|0|0|1|0|0|1|241099.8|1|0|241099.8|241099.8|0|0|0
323213.0|13775266.0|202312|30/12/23|405003|138|801228987782|117|327845.9|0|1|0|0|0|0|0|-17516.0|0|0|1|1|0|0|1|0|0|1|327845.9|1|0|327845.9|327845.9|0|0|3
378418.0|2305424.0|202312|27/12/23|194016|78|801227200908|62|201740.0|0|0|0|0|0|0|0|10592.0|0|0|1|1|0|1|0|0|0|0|201740.0|1|0|201740.0|201740.0|0|0|4
25319164.0|197826.0|202312|07/12/23|194013|387|902654987250|62|490000.0|0|0|1|0|0|0|0|1294.0|0|0|1|1|0|1|0|0|0|0|490000.0|1|0|490000.0|490000.0|0|1|1
21835.0|21835.0|202312|29/12/23|550000|162|902662539315|62|200000.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|200000.0|0|0|200000.0|200000.0|0|0|9
25348583.0|9374420.0|202312|19/12/23|430000|346|902658929899|107|214395.01|0|0|0|0|0|0|0|838.0|0|0|1|1|0|1|0|0|0|0|214395.01|1|0|214395.01|214395.01|0|0|4
6486795.0|6486795.0|202312|22/12/23|193011|434|801225972017|60|200000.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|200000.0|0|0|200000.0|200000.0|0|0|9
6231775.0|1227549.0|202312|12/12/23|550000|187|902655797177|62|218000.0|0|0|0|0|0|0|0|7287.0|0|0|1|1|0|1|0|0|0|1|218000.0|1|0|218000.0|218000.0|0|0|9
12844012.0|12844012.0|202312|22/12/23|380000|138|801225667850|62|210280.0|0|0|0|0|0|0|0|3559.0|0|0|0|0|0|0|0|0|0|1|210280.0|1|1|210280.0|210280.0|0|0|5
12844012.0|12844012.0|202312|07/12/23|380000|599|801219657870|62|207170.0|0|0|0|0|0|0|0|3396.0|0|0|0|0|0|0|0|0|0|1|207170.0|1|1|207170.0|207170.0|0|0|5
4860036.0|3499229.0|202312|01/12/23|193012|150|902652305608|84|377032.85|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|377032.85|0|0|377032.85|377032.85|0|0|2
8672384.0|21226791.0|202312|22/12/23|193055|85|902660169104|62|276995.0|1|0|0|0|0|0|0|5133.0|0|0|1|1|0|0|1|0|0|1|276995.0|1|0|276995.0|276995.0|0|0|0
8672384.0|21226791.0|202312|23/12/23|193055|27|902660582369|62|275945.0|1|0|0|0|0|0|0|5134.0|0|0|1|1|0|0|1|0|0|1|275945.0|1|0|275945.0|275945.0|0|0|0
70555.0|70555.0|202312|26/12/23|380000|189|801226662602|62|461960.0|0|0|1|0|0|0|0|12018.0|0|0|0|0|1|0|1|0|0|1|461960.0|1|1|461960.0|461960.0|0|0|13
28088704.0|149426.0|202312|30/12/23|200000|109|902662989954|115|357000.0|0|1|0|0|0|0|0|2879.0|0|0|1|1|0|0|0|0|0|1|357000.0|1|0|357000.0|357000.0|0|0|10
6248389.0|6248389.0|202312|13/12/23|350000|129|801221247629|107|202610.1|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|202610.1|0|0|202610.1|202610.1|0|0|9
13742.0|5261653.0|202312|14/12/23|191095|96|801221738986|117|312000.0|0|1|0|0|0|0|0|12900.0|0|0|1|1|0|0|1|0|0|1|312000.0|1|0|312000.0|312000.0|0|0|3
59820.0|17712231.0|202312|28/12/23|205000|167|902661996237|117|369586.0|0|1|0|0|0|0|0|11228.0|0|0|1|1|0|0|1|0|0|1|369586.0|1|0|369586.0|369586.0|0|0|3
12106528.0|19536336.0|202312|18/12/23|365000|538|801223557200|60|500000.0|0|0|1|0|0|1|0||0|0|1|1|0|1|0|0|0|1|500000.0|0|0|500000.0|500000.0|0|0|18
23724594.0|11340305.0|202312|23/12/23|401000|182|902660761818|62|250000.0|1|0|0|0|0|0|0|1686.0|0|0|1|1|0|1|0|0|0|0|250000.0|1|0|250000.0|250000.0|0|0|4
15972216.0|8140037.0|202312|21/12/23|435001|141|902659725622|60|260000.0|1|0|0|0|0|0|0|2898.0|0|0|1|1|0|1|0|0|0|0|260000.0|1|0|260000.0|260000.0|0|0|4
11346828.0|2881506.0|202312|02/12/23|194000|170|801217226372|62|207614.67|0|0|0|0|0|0|0|3602.0|0|0|1|1|0|1|0|0|0|1|207614.67|1|0|207614.67|207614.67|0|0|9
27235189.0|460623.0|202312|30/12/23|215002|150|902662963878|62|240175.0|1|0|0|0|0|0|0|2879.0|0|0|1|1|0|1|0|0|0|0|240175.0|1|0|240175.0|240175.0|0|0|4
16434795.0|721289.0|202312|11/12/23|215011|297|902655312365|62|277055.7|1|0|0|0|0|0|0|3504.0|0|0|1|1|0|1|0|0|0|0|277055.7|1|0|277055.7|277055.7|0|0|4
21294271.0|1005185.0|202312|06/12/23|305006|446|902654488844|62|445302.5|0|0|1|0|0|0|0|2621.0|0|0|1|1|0|1|0|0|0|1|445302.5|1|0|445302.5|445302.5|0|0|18
2096628.0|28990521.0|202312|26/12/23|305000|293|801226662107|62|238830.0|1|0|0|0|0|0|0|11315.0|0|0|1|1|0|0|1|0|0|1|238830.0|1|0|238830.0|238830.0|0|0|0
2096628.0|23419760.0|202312|27/12/23|570000|424|902661461960|62|241530.0|1|0|0|0|0|0|0|11316.0|0|0|1|1|0|0|1|0|0|1|241530.0|1|0|241530.0|241530.0|0|0|0
27203805.0|11969479.0|202312|27/12/23|191002|161|902661532696|62|600000.0|0|0|0|1|0|0|0|642.0|0|0|1|1|0|1|0|0|1|1|600000.0|1|0|600000.0|600000.0|0|0|15
4613804.0|3556867.0|202312|02/12/23|215002|120|902652729724|62|600000.0|0|0|0|1|0|0|0|6835.0|0|0|1|1|0|0|1|0|1|1|600000.0|1|0|600000.0|600000.0|0|0|11
6182113.0|13764391.0|202312|13/12/23|200000|389|902656417774|60|206050.0|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|206050.0|0|0|206050.0|206050.0|0|0|9
5380979.0|5380979.0|202312|06/12/23|305000|544|801218952082|101|303225.28|0|1|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|303225.28|0|0|303225.28|303225.28|0|0|2
8406930.0|8406930.0|202312|16/12/23|191074|64|902657654757|62|500000.0|0|0|1|0|0|0|0|5420.0|0|0|1|1|0|1|0|0|0|1|500000.0|1|1|500000.0|500000.0|0|0|18
46111.0|191269.0|202312|11/12/23|285000|456|902655275984|115|411440.5|0|0|1|0|0|0|0|-13437.0|0|0|1|1|0|0|0|0|0|1|411440.5|1|0|411440.5|411440.5|0|0|14
23140222.0|23140222.0|202312|18/12/23|194025|468|801223686877|107|216739.93|0|0|0|0|0|1|0||0|0|1|1|0|1|0|0|0|1|216739.93|0|0|216739.93|216739.93|0|0|9
69556.0|4586833.0|202312|27/12/23|395000|63|902661421355|62|370000.0|0|1|0|0|0|0|0|14238.0|0|0|1|1|0|0|1|0|0|0|370000.0|1|0|370000.0|370000.0|0|0|17
21482735.0|193554.0|202312|22/12/23|435000|179|801225842474|62|244000.0|1|0|0|0|0|0|0|2193.0|0|0|1|1|0|1|0|0|0|1|244000.0|1|0|244000.0|244000.0|0|0|9
8851327.0|4306183.0|202312|05/12/23|570000|391|902653617622|62|755823.9|0|0|0|1|0|0|0|2087.0|0|0|1|1|0|0|0|0|1|1|755823.9|1|0|699065.4099999998|699065.4099999998|0|0|8
